Image,IoU Score
333.png,0.05722735674676525
291.png,0.05362029046516523
965.png,0.227554272656203
346.png,0.19185040468880826
360.png,0.0052648897663705166
278.png,0.3713672877150187
314.png,0.07031456515992598
362.png,0.4922717236004676
288.png,0.03242999774791682
311.png,0.43642014132968293
348.png,0.016717683070402636
334.png,0.009107186959743146
957.png,0.3958366796235022
313.png,0.13523527232308263
357.png,0.013419013419013418
359.png,0.007913669064748202
350.png,0.010856453558504222
315.png,0.06965078140073316
898.png,0.02515404268109408
290.png,0.06281995195444115
363.png,0.3804361965052248
361.png,0.0037847318379027046
318.png,0.5227934044616876
306.png,0.07785745646129079
358.png,0.008274165595124951
324.png,0.007575757575757576
286.png,0.015337423312883436
287.png,0.009257072686912577
327.png,0.006901651466600937
325.png,0.08713542296986566
285.png,0.05202394526795895
332.png,0.12550028587764436
307.png,0.3206057468288895
342.png,0.4614361046769504
351.png,0.026623360016367868
308.png,0.5432058279262608
344.png,0.35707757340340457
277.png,0.5335459424240866
349.png,0.005317263381779511
292.png,0.06313297633706556
982.png,0.7370613008890968
352.png,0.07811236863379144
345.png,0.09997580742711988
347.png,0.007987220447284345
